Time,Speaker,Transcripts 
0:00,Caitlyn ,"I mean, it's almost the end. But your participation is voluntary. You don't have to answer any of these questions you don't want to, you can leave at any time.  So first, and this is a little different for you just because of what you experienced. But what was your experience like hearing about the video and the VR experience from Anushka. And Jonathan."
0:38,James,"so I was actually, I was surprised that they, like that they were experiencing the VR from Rocky's perspective, I was assuming it was going to be like, you could like take a virtual avatar with her kind of, it would be realistic, but you still have that separation. Because I've never used virtual reality for I don't know what to expect a little bit I use, like, you're really able to pick things up, really when the haptic touch to it. And you really couldn't put things down or trust up things. And like, I'm kind of like, I can't wait to try. But it did kind of really act like you're like in this tent, and like the door, your belongings, if you had this radio, you had these things. And then they said, like, police officer, like open up the tab. I can imagine that being like, very, like scary, like, it's like a bag of something you want to experience. It's like the only kind of the closest thing you have to a safe, secure place. And someone just like rips it open. Like I have to imagine that's like, frightening experience. "
1:45,Caitlyn ,"Yeah, for sure. That makes sense. How did you feel just like brainstorming in a space knowing that they kind of had different experiences from each other? And from you? And like, I don't know, did you feel unbalanced? Or any way or more like you have different perspectives? Or you all have the same ideas? I don't know. What was that? "
2:06,James,"Like? Think about it. I wish we could have talked a bit more like So as a quick group of like four or five of us. Like what actually our perspective? I think we kind of did it with the tree and I didn't get to hear anyone else. Yeah, like what they talked about. Cuz I would have liked like, I don't have that directive and experience was it was like a man in my area that was matching in the interview to be like what always went to the Wendy's just like to have a coffee of a place. Like he was there for like about two years, two and a half years. Like I was saying. We sound a bit. But unfortunately, he was he was volatile enough that I think it was maybe a year or two now from now. He was like, like a bus stop doing further stuff. It's really sad. Oh, yeah. No, it's like he was like, picking made a local paper and people like heard about it. Obviously, really tragic thing. But I think I need to do the VR experience rather than trying to think of like his experience. Right, right. Yeah, this would have been nice to show that okay. Yeah. Maybe that would have maybe grounded my experience a bit more, but also like hearing, what are their experiences with homes? Have they interacted with someone or just like, crawl from different places to like, football floor? I've worked all around the country. Yeah, that would have been nice to do that. But I still really enjoy doing the brainstorming in general. I like having that. Think I still like learned idea that like focusing either on like, I think education maybe more than I would have initially thought about it. Like that was cool. Let's do that. Yeah, "
3:50,Caitlyn ,"that makes sense. Perfect. Um, these are, I don't know, kind of similar to the free but what do you think contributes to people being homeless?"
4:05,James,"And maybe it's a good question. Yeah, I don't know. Or maybe if there's something that you hadn't thought about before doing this activity that maybe got brought up or something, or just generally referred to as like moving to such the factories, but think about the person I was talking to. He was like a veteran. I think there's some kind of mental illness from war that made him want to, like, separate from this family and kind of live in isolation for the most part. For the external faculty, like when we send people off to work, and we bring them back. Like, are we really taking care of them? That's like external stuff. But then ultimately, they can turn Oh, like, I'm just like, I'm almost like, wondering how do people reach that way for? Good, I really do seem like there are services and places to reach out to whether it's like, housing shelters or places you could go to either have a place to go. Why don't they go? Why are they moving on now? I think some of the stuff about Nokia is hearing like, something was given something about, like almost wanting to be there and they didn't really want to like, reintegrate back into society. I think there's some kind of like external factors that kind of push them one by way, and then they like internal stuff that kind of takes some guts"
5:31,Caitlyn ,"Thank you. I guess maybe going off of what you just said, like, what do you think they need the most? "
5:41,James,"I do think it's like a people get the people, people problems, also people solution, right? Like, how do we get people to, like, think more than soft, like, say that they can contribute to society. Work together with people and like, help each other. Because I think one of the things of homelessness, it's like, you're just like, so many private, even your own needs. It's like, what can I do? I can't even help myself. And I'm clean, I'm unwashed, and all those things. So I think getting that support group of people that believe in you and kind of believing in you, and also you believing in yourself, there's going to be that back and forth, trying to like how you make that happen? Well, yeah, I think if people are saying, first and foremost, "
6:35,Caitlyn ,"I like that phrasing of like, people solutions. Um, let's see. So after this design experience, and I guess, kind of hearing me talk about their video VR experience, would you like to take any actions to help the homeless? And like, if so doing what? "
6:55,James,"Because we go later, figure out what the government is doing right now. I don't think I'm perfectly I think one of the things like educating yourself on the issue. And I think this design workshop helped me want to educate myself. It's like, now I have an idea that I could work on or like, look into, to help these stakeholders were like, Oh, the government, but does the government really see what's going on? Like, what isn't a nonprofit space? What are these different groups doing? I'd be excited to look into that more. I think I'm one of the energy for it. Now I did coming in, for sure. More about, like the design process."
7:39,Caitlyn ,"So I mean, I was there, So I saw this, but what design problem did you identify? And then what solutions did you come up with?"
7:50,James,"Okay, so we were looking at design problems. And the one we picked was not having access to housing that was like, fundamentally, like, what, what needs to be in that housing, and it's like security, and cleanliness and health. And these kind of like, not having someone by Origin near times, like these kind of things are really important for that type of housing. And the thing I was kind of leaning towards more or least curious about try was the idea of like, public education or the right, why isn't housing more or less saying like, we don't demand that as a community as much we don't want people to do it. All of us can have public high school for free for like 10 years, K through 12. And we're even pushing for more like, everyone deserves Community College. Now, we keep this is a political issue, everyone, not everyone, but there's a lot of support for having housing, driven as much as a lot of stigma, a lot of bias behind it. A lot of dehumanizing people blaming them for why they make certain choices all the time, very negative, with example, they always saturation to like, I would never be homeless, and they must have done something wrong or whatever. I think all that stuff is just fits into it. First thing, the solution, I was kind of like, looking into this, we have this huge teaching shortage, especially even as a substitute teacher. I don't see why you couldn't go to a program that you obviously need to vet people and help get some kind of training and make sure they don't like do anything harmful to the kids like I know, I wouldn't want to do anything like that. But I do think this way, like create opportunities for jobs and then I have housing near the school that has not traded on a new school property, kind of creating this like system. I think maybe they would want to work in the school. Maybe that's a way to give them purpose and meaning and connection that people I think I always hear from teachers like When you're around younger people, you feel like you stay young, you feel like you have this energy that's being around people. You don't have to deal with. Now, some are called adults walking by giving you a cold shoulder that my kids are 24 people. I think that can be a potential like, holistic view of trying to look at the needs of society. And then also you need these people, and how can we kind of make a match "
10:25,Caitlyn ,"Yeah, for sure. That makes sense. So what's your design rationale? Or like, why did you decide on these design ideas?"
10:40,James,"I think it was looking at like, what's going on in Boston right now, like I did. One of the things I Googled, like computer during our break was like, like, what is a teaching shortage like, so in the Boston Public School? It's over 1000 teachers. Sometimes it's COVID. Like I understand, like, even if you brought in other people, they might still get COVID. I am not trying to say like, some of them people are sometimes like teachers and quitting because there is other jobs that are paying more. And you do get paid $5 More an hour. It's pretty hard to want to stay teaching preschool or kindergarten, those are very demanding jobs. And sometimes it's hard to stay, they even think more than a year. turnover is crazy. Most people don't stay that long. Yeah. So it's kind of looking at that. And I'm like, How can you show that I needed to find a and can you match it with another? That was kind of my rationale. I do realize that that didn't include like, what do these people want to be teachers? Because that's like a very true thing. I don't want to assume that they would want to be like, what if they just don't want to do that? Like, I don't know, if I would want to be messing up again to being like a preschool, kindergarten, first grade teacher, but like, that's not what I'm trying to be farmers forcing people who are let's see what I don't really know. I kind of left at the end. But like, I don't know what conclusion you guys came to. But would you make any changes in your next like, iteration, like, if you guys were to meet again next week, or something like that, there'd be any changes you think about, I guess you kind of just alluded to one like, I don't know, the humanization of them. But experiencing homelessness to be teachers. So I realize it's a little bit dehumanizing. They're just like, plug people in? Or maybe for some people, it's a helpful emotion if they maybe they would buy into it. Yeah, if we didn't have anyone in the room, who directly experienced homelessness, I think that's an important voice to just on one hand, you miss generated ideas, or you're like, we throw out an idea now, like, that's just unrealistic. It'd be good to have that voice in the room to hear that. Anything that happened? I think ideally, that something, if you're doing it next week, we could try to do"
13:11,Caitlyn ,"Yeah. Are there any constraints? I think you guys talked about that in your design, and how would you overcome those? "
13:23,James,"I think where we put this constraint of like money and like housing, availability of land. And I felt like pressure might be instructive to people. Like, you know, who don't really one of the constraints is like, how do you get people to really want to help someone. We can talk about self interest and we talk about feeling great to help people but it's not like a quick thing. It's like oh, let me go help someone get housing for like two hours good, legal real commitment, you know, for for monks we really here to talk from we really get on our feet. So the constraint is like how do we get people to that place to be able to make that kind of commitment for people. We want to be really got to figure out how to deal with that constraint. I think the other constraints of like, money and housing like space are low more feasible and like, kind of like low grade redesign spaces, or government funding. Those are those constraints and were like, like I was saying about the political well to do something like really cute to do was the I remember listening to a video that there was a time there was a public high school. And we decided like to build like 3000 4000 for the food in this country. Like that happened. Apparently, there was a bunch of money we found when for all that. Yeah. Not sure why we can't do that for other issues. Yeah. Um, so how you kind of get the money to want to put the tax dollars for it. Oh, that kind of thing. "
15:02,Caitlyn ,"Yeah, I've seen stuff that's like if we propose public schools and libraries today like everyone would be against, like that would be politically contreversial"
15:13,James,"But now that it's like, in practice, like no one's like against it, well, actually some people are people"
15:31,Caitlyn ,"Yeah, and that's perfect. Thank you so much for participating in the activity and the interviews and everything. "
